samples,pct_of_total,leaf_frame
7,0.03,"java.util.HashMap.putVal(int, Object, Object, boolean, boolean) line: 645"
6,0.03,"net.minecraft.world.level.levelgen.placement.PlacementContext.getHeight(Heightmap$Types, int, int) line: 28"
6,0.03,"net.minecraft.world.level.levelgen.feature.Feature.place(FeatureConfiguration, WorldGenLevel, ChunkGenerator, RandomSource, BlockPos) line: 164"
6,0.03,"net.minecraft.world.level.levelgen.SurfaceRules$SequenceRuleSource.apply(SurfaceRules$Context) line: 795"
6,0.03,"net.minecraft.world.level.levelgen.LegacyRandomSource.setSeed(long) line: 36"
6,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 988"
6,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$ShiftB.mapAll(DensityFunction$Visitor) line: 815"
6,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$Mapped.mapAll(DensityFunction$Visitor) line: 967"
6,0.03,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.fillArray(double[], DensityFunction$ContextProvider) line: 1158"
6,0.03,"net.minecraft.world.level.chunk.ImposterProtoChunk.getBlockState(BlockPos) line: 51"
6,0.03,"net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.updateShape(LevelReader, ScheduledTickAccess, BlockPos, Direction, BlockPos, BlockState, RandomSource) line: 1200"
6,0.03,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 82"
6,0.03,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 71"
6,0.03,"net.minecraft.core.BlockPos$MutableBlockPos.immutable() line: 418"
6,0.03,"java.util.stream.ReferencePipeline$2$1.accept(Object) line: 196"
6,0.03,"java.util.stream.AbstractPipeline.evaluate(TerminalOp) line: 265"
6,0.03,"java.util.HashMap.removeNode(int, Object, Object, boolean, boolean) line: 847"
6,0.03,"java.util.HashMap.putVal(int, Object, Object, boolean, boolean) line: 651"
6,0.03,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1207"
6,0.03,"java.util.ArrayList$Itr.remove() line: 1064"
6,0.03,"java.lang.invoke.DirectMethodHandle.allocateInstance(Object) line: 500"
6,0.03,"it.unimi.dsi.fastutil.longs.LongArrayFIFOQueue.enqueue(long) line: 133"
6,0.03,"it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.computeIfAbsent(long, Long2ObjectFunction) line: 454"
6,0.03,"it.unimi.dsi.fastutil.longs.Long2FloatLinkedOpenHashMap.shiftKeys(int) line: 404"
5,0.02,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.isFull(AxisCycle, int, int, int) line: 85"
5,0.02,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.isFull(AxisCycle, int, int, int) line: 84"
5,0.02,"net.minecraft.world.level.lighting.BlockLightEngine.propagateIncrease(long, long, int) line: 74"
5,0.02,"net.minecraft.world.level.levelgen.structure.templatesystem.RuleProcessor.processBlock(LevelReader, BlockPos, BlockPos, StructureTemplate$StructureBlockInfo, StructureTemplate$StructureBlockInfo, StructurePlaceSettings) line: 26"
5,0.02,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseChunkDensityFunction.maxValue() line: 425"
5,0.02,"net.minecraft.world.level.levelgen.NoiseChunk$1.fillAllDirectly(double[], DensityFunction) line: 100"
5,0.02,"net.minecraft.world.level.levelgen.MarsagliaPolarGaussian.nextGaussian() line: 36"
5,0.02,"net.minecraft.world.level.levelgen.Heightmap.primeHeightmaps(ChunkAccess, Set) line: 130"
5,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 981"
5,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$ShiftA.mapAll(DensityFunction$Visitor) line: 796"
5,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1145"
5,0.02,"net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.canSurvive(LevelReader, BlockPos) line: 1220"
5,0.02,"net.minecraft.util.SimpleBitStorage.set(int, int) line: 176"
5,0.02,"java.util.TimSort.binarySort(Object[], int, int, int, Comparator) line: 296"
5,0.02,"java.util.HashMap.resize() line: 721"
5,0.02,"java.util.BitSet.expandTo(int) line: 357"
5,0.02,"java.util.Arrays.copyOf(Object[], int) line: 3478"
5,0.02,"it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.find(long) line: 247"
5,0.02,"it.unimi.dsi.fastutil.longs.Long2IntOpenHashMap.find(long) line: 248"
5,0.02,"it.unimi.dsi.fastutil.longs.Long2ByteOpenHashMap.find(long) line: 249"
4,0.02,"net.minecraft.world.level.lighting.LightEngine.propagateIncreases() line: 195"
4,0.02,"net.minecraft.world.level.lighting.DynamicGraphMinFixedPoint.checkEdge(long, long, int, int, int, boolean) line: 110"
4,0.02,"net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate.lambda$updateShapeAtEdge$0(BlockPos$MutableBlockPos, int, int, int, BlockPos$MutableBlockPos, LevelAccessor, int, Direction, int, int, int) line: 400"
4,0.02,"net.minecraft.world.level.levelgen.placement.InSquarePlacement.getPositions(PlacementContext, RandomSource, BlockPos) line: 27"
4,0.02,"net.minecraft.world.level.levelgen.feature.stateproviders.BlockStateProvider.getOptionalState(WorldGenLevel, RandomSource, BlockPos) line: 28"
4,0.02,"net.minecraft.world.level.levelgen.SurfaceRules$WaterConditionSource$1WaterCondition.compute() line: 580"
4,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$Spline.compute(DensityFunction$FunctionContext) line: 1214"
4,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$PureTransformer.fillArray(double[], DensityFunction$ContextProvider) line: 281"
4,0.02,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 369"
4,0.02,"net.minecraft.world.level.chunk.DataLayer.getData() line: 91"
4,0.02,"net.minecraft.world.level.block.MultifaceSpreader.spreadFromFaceTowardDirection(BlockState, LevelAccessor, BlockPos, Direction, Direction, boolean) line: 67"
4,0.02,"java.util.stream.Sink$ChainedInt.end() line: 293"
4,0.02,"java.util.stream.ReferencePipeline$7$1FlatMap.begin(long) line: 283"
4,0.02,"java.util.stream.Nodes$FixedNodeBuilder.build() line: 1213"
4,0.02,"java.util.stream.AbstractPipeline.wrapSink(Sink) line: 607"
4,0.02,"java.util.stream.AbstractPipeline.isShortCircuitingPipeline() line: 443"
