samples,pct_of_total,leaf_frame
7,0.02,"java.util.stream.StreamOpFlag.fromCharacteristics(Spliterator) line: 750"
7,0.02,"java.util.stream.Sink$ChainedReference.begin(long) line: 256"
7,0.02,"java.util.stream.ReferencePipeline$7$1FlatMap.accept(Object) line: 295"
7,0.02,"java.util.stream.Nodes$ArrayNode.<init>(long, IntFunction) line: 649"
7,0.02,"java.util.concurrent.ConcurrentLinkedQueue.poll() line: 385"
7,0.02,"java.util.concurrent.CompletableFuture.reportJoin(Object, String) line: 451"
7,0.02,"java.util.concurrent.CompletableFuture.postComplete() line: 531"
6,0.02,"net.minecraft.world.level.levelgen.placement.CountPlacement.count(RandomSource, BlockPos) line: 31"
6,0.02,"net.minecraft.world.level.levelgen.feature.OreFeature.doPlace(WorldGenLevel, RandomSource, OreConfiguration, double, double, double, double, double, double, int, int, int, int, int) line: 161"
6,0.02,"net.minecraft.world.level.levelgen.MarsagliaPolarGaussian.nextGaussian() line: 36"
6,0.02,"net.minecraft.world.level.levelgen.Heightmap.primeHeightmaps(ChunkAccess, Set) line: 130"
6,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.fillArray(double[], DensityFunction$ContextProvider) line: 1158"
6,0.02,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 335"
6,0.02,"net.minecraft.world.level.chunk.status.ChunkStep.apply(WorldGenContext, StaticCache2D, ChunkAccess) line: 33"
6,0.02,"net.minecraft.world.level.chunk.HashMapPalette.idFor(Object, PaletteResize) line: 38"
6,0.02,"net.minecraft.world.level.chunk.DataLayer.getData() line: 91"
6,0.02,"net.minecraft.world.level.LevelReader.getBiome(BlockPos) line: 45"
6,0.02,"net.minecraft.util.thread.BlockableEventLoop.pollTask() line: 138"
6,0.02,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 82"
6,0.02,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 71"
6,0.02,"java.util.stream.Streams$StreamBuilderImpl.forEachRemaining(Consumer) line: 411"
6,0.02,"java.util.stream.Sink$ChainedReference.<init>(Sink) line: 251"
6,0.02,"java.util.stream.Nodes$FixedNodeBuilder.end() line: 1239"
6,0.02,"java.util.concurrent.ForkJoinPool.signalWork() line: 1899"
6,0.02,"java.util.Spliterators$ArraySpliterator.forEachRemaining(Consumer) line: 1024"
6,0.02,"java.util.HashMap.resize() line: 711"
6,0.02,"java.lang.Enum.hashCode() line: 190"
6,0.02,"io.github.eath1283.worldgend.OrionV2.fill(List, Function5) line: 114"
5,0.01,"net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate.lambda$updateShapeAtEdge$0(BlockPos$MutableBlockPos, int, int, int, BlockPos$MutableBlockPos, LevelAccessor, int, Direction, int, int, int) line: 400"
5,0.01,"net.minecraft.world.level.levelgen.feature.Feature.place(FeatureConfiguration, WorldGenLevel, ChunkGenerator, RandomSource, BlockPos) line: 164"
5,0.01,"net.minecraft.world.level.levelgen.SurfaceRules$SequenceRule.tryApply(int, int, int) line: 383"
5,0.01,"net.minecraft.world.level.levelgen.OreVeinifier.lambda$create$0(DensityFunction, BlockState, PositionalRandomFactory, DensityFunction, DensityFunction, DensityFunction$FunctionContext) line: 70"
5,0.01,"net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.doFill(Blender, StructureManager, RandomState, ChunkAccess, int, int) line: 392"
5,0.01,"net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.applyCarvers(WorldGenRegion, long, RandomState, BiomeManager, StructureManager, ChunkAccess) line: 316"
5,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 984"
5,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$ShiftedNoise.mapAll(DensityFunction$Visitor) line: 689"
5,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$Mapped.create(DensityFunctions$Mapped$Type, DensityFunction) line: 901"
5,0.01,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 364"
